Timestamp,Gold_price,Exchange_mid_rate,Xau_Price
2/1/2021,26950,30.0371,1898.1
4/1/2021,27300,29.9324,1942.28
5/1/2021,27550,29.9008,1949.35
6/1/2021,27650,29.9256,1918.81
7/1/2021,27250,29.9256,1912.5
8/1/2021,26950,30.1034,1848.26
9/1/2021,26450,30.1034,1848.26
11/1/2021,26400,30.1487,1844.66
12/1/2021,26550,30.1576,1855.63
13/1/2021,26350,30.016,1843.41
14/1/2021,26200,30.0067,1846.37
15/1/2021,26350,29.9833,1826.59
16/1/2021,26100,29.9833,1826.59
18/1/2021,26150,30.1033,1836.89
19/1/2021,26250,30.0611,1839.34
20/1/2021,26350,29.9838,1870.91
21/1/2021,26500,29.9424,1869.91
22/1/2021,26450,29.9714,1852.55
23/1/2021,26350,29.9714,1852.55
25/1/2021,26300,29.9819,1854.99
26/1/2021,26350,29.9763,1850.31
27/1/2021,26200,29.9752,1843.99
28/1/2021,26200,30.0296,1840.36
29/1/2021,26250,29.9928,1846.09
30/1/2021,26200,29.9928,1846.09
1/2/2021,26450,29.912,1860.16
2/2/2021,26300,29.9796,1837.35
3/2/2021,26150,30.0116,1833.76
4/2/2021,25900,30.0205,1792.26
5/2/2021,25750,30.1074,1811.62
6/2/2021,25800,30.1074,1811.62
8/2/2021,25800,30.0426,1830.16
9/2/2021,26150,29.9679,1837.06
10/2/2021,26050,29.9225,1842.22
11/2/2021,26100,29.9128,1825.36
12/2/2021,25800,29.9128,1823.46
13/2/2021,25850,29.9128,1823.46
15/2/2021,25750,29.8702,1818.51
16/2/2021,25800,29.8646,1794.31
17/2/2021,25400,29.9807,1776.26
18/2/2021,25400,30.0001,1775.49
19/2/2021,25200,30.0147,1782.31
20/2/2021,25350,30.0147,1782.31
22/2/2021,25550,29.9921,1808.66
23/2/2021,25700,29.9994,1805.06
24/2/2021,25700,30.0268,1804.36
25/2/2021,25600,30.0434,1769.88
26/2/2021,25350,30.0434,1733.49
27/2/2021,25100,30.0434,1733.49
1/3/2021,25100,30.3529,1723.84
2/3/2021,24800,30.3048,1738.09
3/3/2021,24850,30.2881,1710.95
4/3/2021,24700,30.3639,1697.19
5/3/2021,24500,30.4462,1700.86
6/3/2021,24650,30.4462,1700.86
8/3/2021,24750,30.6225,1681.24
9/3/2021,24800,30.8647,1715.36
10/3/2021,24950,30.7573,1726.05
11/3/2021,25150,30.6414,1721.41
12/3/2021,24850,30.6376,1726.41
13/3/2021,25100,30.6376,1726.41
15/3/2021,25150,30.7215,1731.84
16/3/2021,25200,30.7307,1730.94
17/3/2021,25300,30.7902,1744.44
18/3/2021,25400,30.7418,1736.41
19/3/2021,25400,30.897,1744.74
20/3/2021,25400,30.897,1744.74
22/3/2021,25350,30.9009,1738.69
23/3/2021,25500,30.952,1727.11
24/3/2021,25450,31.0145,1734.19
25/3/2021,25550,31.0788,1726.82
26/3/2021,25450,31.1603,1731.97
27/3/2021,25550,31.1603,1731.97
29/3/2021,25500,31.1856,1711.99
30/3/2021,25150,31.2303,1684.8
31/3/2021,25000,31.3394,1707.01
1/4/2021,25450,31.27,1730.18
2/4/2021,25550,31.2432,1728.84
3/4/2021,25550,31.2432,1728.84
5/4/2021,25650,31.3389,1728.44
6/4/2021,25700,31.3389,1743.57
7/4/2021,25800,31.3027,1737.28
8/4/2021,25950,31.4379,1755.94
9/4/2021,25950,31.4176,1743.1
10/4/2021,25950,31.4176,1743.1
12/4/2021,26000,31.5358,1732.51
13/4/2021,25800,31.5358,1743.83
14/4/2021,26000,31.5358,1736
15/4/2021,25800,31.5358,1763.21
16/4/2021,26150,31.259,1776.31
17/4/2021,26200,31.259,1776.31
19/4/2021,26400,31.237,1769.31
20/4/2021,26150,31.221,1777.25
21/4/2021,26400,31.3083,1793.46
22/4/2021,26500,31.322,1783.94
23/4/2021,26500,31.4014,1777.18
24/4/2021,26450,31.4014,1777.18
26/4/2021,26500,31.4239,1780.19
27/4/2021,26450,31.4214,1776.69
28/4/2021,26250,31.4079,1781.32
29/4/2021,26300,31.2514,1771.24
30/4/2021,26100,31.195,1768.59
1/5/2021,26150,31.195,1768.59
3/5/2021,26250,31.195,1792.36
4/5/2021,26350,31.195,1778.48
5/5/2021,26200,31.1865,1786.44
6/5/2021,26500,31.1902,1815.18
7/5/2021,26850,31.2195,1830.48
8/5/2021,26900,31.2195,1830.48
10/5/2021,27000,31.1086,1835.44
11/5/2021,27050,31.1075,1836.94
12/5/2021,27050,31.2035,1815.44
13/5/2021,26950,31.3115,1826.57
14/5/2021,27200,31.3427,1842.19
15/5/2021,27300,31.3427,1842.19
17/5/2021,27550,31.4058,1866.13
18/5/2021,27800,31.4653,1868.22
19/5/2021,27700,31.4327,1869.57
20/5/2021,27750,31.4005,1876.69
21/5/2021,27850,31.3822,1880.3
22/5/2021,27900,31.3822,1880.3
24/5/2021,27850,31.3788,1881.07
25/5/2021,27900,31.3318,1899.26
26/5/2021,28150,31.3318,1896.44
27/5/2021,28050,31.2915,1896.08
28/5/2021,28000,31.2984,1902.64
29/5/2021,28100,31.2984,1902.64
31/5/2021,28150,31.2629,1906.36
1/6/2021,28100,31.182,1900.19
2/6/2021,27950,31.1632,1907.94
3/6/2021,27950,31.1632,1870.57
4/6/2021,27650,31.2314,1889.97
5/6/2021,27850,31.2314,1889.97
7/6/2021,27800,31.1955,1899
8/6/2021,27950,31.2013,1892.82
9/6/2021,27850,31.1605,1888.3
10/6/2021,27750,31.1466,1898.14
11/6/2021,27850,31.0975,1876.64
12/6/2021,27650,31.0975,1876.64
14/6/2021,27450,31.116,1865.99
15/6/2021,27500,31.1198,1858.69
16/6/2021,27450,31.1745,1811.95
17/6/2021,26900,31.3274,1773.31
18/6/2021,26700,31.3945,1763.34
19/6/2021,26400,31.3945,1763.34
21/6/2021,26700,31.5606,1782.95
22/6/2021,26750,31.6667,1778.51
23/6/2021,26900,31.7994,1778.73
24/6/2021,26850,31.8921,1775.18
25/6/2021,26800,31.7923,1780.34
26/6/2021,26850,31.7923,1780.34
28/6/2021,26900,31.8828,1778.18
29/6/2021,26850,32.0187,1761.09
30/6/2021,26700,32.0533,1769.8
1/7/2021,26900,32.0219,1776.6
2/7/2021,27150,32.171,1786.79
3/7/2021,27150,32.171,1786.79
5/7/2021,27250,32.1678,1791.61
6/7/2021,27500,32.1299,1796.69
7/7/2021,27550,32.304,1803.41
8/7/2021,27800,32.437,1802.56
9/7/2021,27800,32.651,1807.98
10/7/2021,27800,32.651,1807.98
12/7/2021,27850,32.6116,1805.88
13/7/2021,27900,32.6315,1807.44
14/7/2021,28000,32.6501,1827.06
15/7/2021,28250,32.6352,1829.19
16/7/2021,28250,32.7365,1810.89
17/7/2021,28150,32.7365,1810.89
19/7/2021,28050,32.8607,1812.34
20/7/2021,28200,32.8245,1810.03
21/7/2021,28100,32.8493,1803.31
22/7/2021,27950,32.8377,1806.69
23/7/2021,28100,32.9253,1801.34
24/7/2021,28100,32.9253,1801.34
26/7/2021,28200,32.9253,1797.27
27/7/2021,28050,32.8924,1798.73
28/7/2021,28050,32.8924,1806.88
29/7/2021,28300,32.8836,1827.95
30/7/2021,28400,32.9018,1813.58
31/7/2021,28300,32.9018,1813.58
2/8/2021,28250,32.9397,1813.39
3/8/2021,28300,32.9759,1809.94
4/8/2021,28400,33.0786,1811.41
5/8/2021,28450,33.1372,1804.01
6/8/2021,28450,33.3266,1762.69
7/8/2021,28000,33.3266,1762.69
9/8/2021,27650,33.4312,1729.46
10/8/2021,27450,33.4673,1728.71
11/8/2021,27400,33.4041,1751.56
12/8/2021,27450,33.4041,1752.44
13/8/2021,27750,33.2224,1779.15
14/8/2021,28000,33.2224,1779.15
16/8/2021,28100,33.375,1787.24
17/8/2021,28250,33.417,1785.96
18/8/2021,28200,33.2144,1787.59
19/8/2021,28200,33.3892,1780.18
20/8/2021,28150,33.3368,1780.87
21/8/2021,28150,33.3368,1780.87
23/8/2021,28250,33.3217,1805.2
24/8/2021,28150,33.1508,1802.61
25/8/2021,27850,32.8676,1790.68
26/8/2021,27700,32.7695,1792.16
27/8/2021,27800,32.7356,1816.67
28/8/2021,27950,32.7356,1816.67
30/8/2021,27900,32.5264,1810.17
31/8/2021,27750,32.3856,1813.43
1/9/2021,27750,32.3013,1813.66
2/9/2021,27900,32.393,1809.4
3/9/2021,27950,32.5046,1826.19
4/9/2021,28050,32.5046,1826.19
6/9/2021,28050,32.4546,1823.1
7/9/2021,28050,32.4918,1794.13
8/9/2021,27950,32.7657,1788.93
9/9/2021,27800,32.7477,1794.69
10/9/2021,27850,32.7103,1787.34
11/9/2021,27800,32.7103,1787.34
13/9/2021,27850,32.7797,1793.49
14/9/2021,27900,32.9117,1804.27
15/9/2021,28050,32.9347,1792.59
16/9/2021,27900,32.9086,1753.39
17/9/2021,27800,33.176,1754.16
18/9/2021,27700,33.176,1754.16
20/9/2021,27750,33.3572,1763.88
21/9/2021,27900,33.4106,1774.25
22/9/2021,28100,33.4205,1767.91
23/9/2021,27850,33.5094,1742.57
